"Dataset","Network","Module","Mod_Def","Percent"
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.399_minSize8_merge_ME_0.85_42548","turquoise2","Seed",62.5
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.243_minSize10_merge_ME_0.85_42548","cyan4","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.243_minSize12_merge_ME_0.85_42548","cyan4","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.266_minSize10_merge_ME_0.85_42548","lightskyblue1","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.266_minSize12_merge_ME_0.85_42548","hotpink4","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.296_minSize10_merge_ME_0.85_42548","firebrick","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.296_minSize12_merge_ME_0.85_42548","firebrick","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.335_minSize10_merge_ME_0.85_42548","palevioletred1","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.335_minSize12_merge_ME_0.85_42548","chocolate4","Seed",41.6666666666667
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.335_minSize8_merge_ME_0.85_42548","navajowhite","Seed",41.6666666666667
"Laffaire 2014 E-MTAB-951 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.541_minSize8_merge_ME_0.85_42548","orange1","Seed",37.5
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.402_minSize8_merge_ME_0.85_18621","antiquewhite1","Seed",37.5
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.413_minSize8_merge_ME_0.85_42548","cyan3","Seed",37.5
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.487_minSize8_merge_ME_0.85_42548","coral","Seed",37.5
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.495_minSize8_merge_ME_0.85_42548","lightblue2","Seed",33.3333333333333
