"Dataset","Network","Mod_Def","SetID","Module","Min_Pval","SetName"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6733","lightpink1","0.000447150220953511","ZENG_HUMAN_INTERNEURON_MARKERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6831","darkgrey","0.016025367596034","Raju_18GW_INTERNEURONS_SEED"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6832","turquoise","0.000182738503937769","Raju_18GW_INTERNEURONS_BC"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7028","mediumpurple2","0.000341604837821825","kelley_neuron"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7054","plum4","0.000553163876161691","kelley_neuron.2"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7118","greenyellow","0.000329517580539982","AGARWAL_SN_2020_GABA_NEURONS_DE_NEU_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7522","darkslateblue","0.000172134979997677","YANG_PFC_2021_L2_3_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7526","tomato","0.000498230376874861","YANG_PFC_2021_L4_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7527","mediumpurple2","0.000101688646948257","YANG_PFC_2021_VIP_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7528","green","0.000152117581914566","YANG_PFC_2021_PV_INTERNEURON"
